20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.436 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
